symbol,day_utc,horizon_s,fold,train_n,test_n,auc,logloss,acc
BTCUSDT,2024-01-01,1,1,17256,17266,0.5602542916100375,0.5486841232253653,0.7578477933510946
BTCUSDT,2024-01-01,1,2,34522,17266,0.5681329782853377,0.567794923756233,0.7412834472373451
BTCUSDT,2024-01-01,1,3,51788,17266,0.6021500921445764,0.5881830946104815,0.7169581837136569
BTCUSDT,2024-01-01,1,4,69054,17266,0.621508671937682,0.6083770270211257,0.69048998030812
BTCUSDT,2024-01-01,5,1,17256,17266,0.6088779253964436,0.6187072122989189,0.6780956793698598
BTCUSDT,2024-01-01,5,2,34522,17266,0.6237980892147038,0.6200638481322175,0.6735202131356423
BTCUSDT,2024-01-01,5,3,51788,17266,0.6248655628911393,0.6559561618686375,0.6307193327927719
BTCUSDT,2024-01-01,5,4,69054,17266,0.6179912645777479,0.675700461035771,0.6155450017375188
BTCUSDT,2024-01-01,10,1,17256,17266,0.619350191051931,0.6465986752976078,0.6365110622031739
BTCUSDT,2024-01-01,10,2,34522,17266,0.6308703574824438,0.6433486921741444,0.6405073554963512
BTCUSDT,2024-01-01,10,3,51788,17266,0.6121176049318197,0.6808412083232079,0.5936522645661995
BTCUSDT,2024-01-01,10,4,69054,17266,0.5904006072182179,0.6987128249419496,0.5850805050388046
